Count|Tag|Signature|X1|X2
1|span|section nav div label span|4|1
2|span|div div div span label span|6|0
3|span|div div div span label span|8|3
4|span|div div div span label span|5|0
5|span|div div div span label span|15|8
6|span|div div div span label span|6|1
7|span|div div div span label span|9|0
8|div|div label span li span div|8|0
9|div|div label span li span div|23|9
10|span|aside div div ul li span|8|0
11|span|aside div div ul li span|15|2
12|span|aside div div ul li span|23|9
13|span|aside div div ul li span|17|7
14|span|aside div div ul li span|17|7
15|span|aside div div ul li span|21|5
16|span|aside div div ul li span|12|12
17|span|aside div div ul li span|17|7
18|span|aside div div ul li span|18|7
19|span|aside div div ul li span|16|8
20|span|aside div div ul li span|16|8
21|span|div div span ul li span|15|2
22|span|div div span ul li span|23|9
23|span|div div span ul li span|17|7
24|span|div div span ul li span|17|7
25|span|div div span ul li span|21|5
26|span|div div span ul li span|12|12
27|span|div div span ul li span|17|7
28|span|div div span ul li span|18|7
29|span|div div span ul li span|16|8
30|span|div div span ul li span|16|8
31|strong|div div div div p strong|19|5
32|p|div div div div div p|31|14
33|strong|div div div div p strong|28|10
34|p|div div div div div p|393|131
35|strong|div div div div p strong|97|37
36|strong|div div div div p strong|56|19
37|p|div div div div div p|122|32
38|p|div div div div div p|54|15
39|b|div div div ul li b|23|5
40|b|div div div ul li b|21|3
41|b|div div div ul li b|30|10
42|strong|div div div div p strong|58|22
43|p|div div div div div p|153|41
44|b|div div div ul li b|49|15
45|b|div div div ul li b|36|6
46|b|div div div ul li b|30|7
47|b|div div div ul li b|21|6
48|b|div div div ul li b|12|2
49|b|div div div ul li b|17|3
50|strong|div div div div p strong|41|18
51|p|div div div div div p|234|59
52|p|div div div div div p|281|97
53|p|div div div div div p|493|129
54|p|div div div div div p|542|171
55|strong|div div div div p strong|42|15
56|p|div div div div div p|365|114
57|b|div div div ul li b|36|9
58|b|div div div ul li b|29|6
59|b|div div div ul li b|18|1
60|b|div div div ul li b|29|11
61|p|div div div div div p|197|60
62|strong|div div div div p strong|23|5
63|b|div div div ul li b|52|16
64|p|div div div div div p|976|284
65|strong|div div div div p strong|40|12
66|strong|div div div div p strong|35|9
67|p|div div div div div p|61|19
68|strong|div div div div p strong|30|8
69|p|div div div div div p|178|49
70|strong|div div div div p strong|23|8
71|p|div div div div div p|222|76
72|strong|div div div div p strong|42|19
73|p|div div div div div p|175|69
74|strong|div div div div p strong|45|6
75|p|div div div div div p|94|18
76|strong|div div div div p strong|35|17
77|p|div div div div div p|149|60
78|strong|div div div div p strong|65|28
79|strong|div div div div p strong|11|3
80|p|div div div div div p|196|62
81|strong|div div div ul li strong|25|6
82|strong|div div div ul li strong|68|15
83|strong|div div div ul li strong|12|3
84|strong|div div div ul li strong|34|7
85|strong|div div div ul li strong|27|8
86|h2|div div div div div h2|46|18
87|p|div div div div div p|290|94
88|strong|div div div div p strong|22|10
89|p|div div div div div p|239|78
90|p|div div div div div p|42|11
91|h2|div div div div div h2|30|13
92|p|div div div div div p|105|49
93|p|div div div div div p|495|163
94|p|div div div div div p|480|136
95|strong|div div div div p strong|41|15
96|p|div div div div div p|222|74
97|p|div div div div div p|124|48
98|p|div div div div div p|482|137
99|strong|div div div div p strong|33|11
100|strong|div div div div p strong|50|22
101|p|div div div div div p|39|12
102|p|div div div div div p|75|25
103|strong|div div div div p strong|21|3
104|p|div div div div div p|59|14
105|p|div div div div div p|171|45
106|strong|div div div div p strong|30|10
107|p|div div div div div p|62|14
108|strong|div div div div p strong|26|9
109|p|div div div div div p|69|19
110|h3|div div div div div h3|15|1
111|span|section footer div div span span|23|8
112|span|section footer div div span span|23|8
113|div|footer div div section div div|21|8
114|div|div div section div div div|16|8
115|div|div div section div div div|19|8
116|title|section footer div div svg title|23|9
117|p|section footer div p|29|15
